平均值	9.658177757259167E-4	9.083336380894042E-4	9.058739328092683E-4	8.545812390114234E-4	0.0016430357848022717	0.0015109949320475644	0.0015410631239236203	9.86293226327273E-4	0.0016842583406050905	0.0016062884483937169	0.0016661281755006592	0.0018805063323831224	0.001300320971421943	0.0014898580857287916	0.0013277511961722482	0.00100191516527167	0.0012942191544434867	0.0015341771553786286	0.0015961799505164946	0.0012949537132461659	0.0014566578860143392
SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区
971	40.828098	111.660004	21380	8635	4078	302447	58	5	13	0	30	2	6	4	6	3	2	0	1	5	11	1	1	23	77	48
1066	40.8055	111.691002	13279	8685	3892	411585	55	4	14	1	13	1	6	3	4	3	1	1	0	3	3	0	1	9	72	32
1098	40.814499	111.685997	12727	8636	3656	278876	31	6	4	1	15	2	4	1	4	3	1	1	0	4	7	0	4	18	44	26
656	40.791801	111.653999	12546	8636	3611	249941	13	1	4	2	6	1	3	1	5	2	1	0	1	2	5	2	0	12	24	13
1344	40.839699	111.689003	12420	8611	3630	266569	40	5	10	0	11	2	2	4	7	2	0	0	0	2	4	3	1	12	55	26
946	40.8251	111.660004	12345	8476	3140	191499	61	4	9	0	30	2	6	5	4	3	2	0	1	5	9	1	0	20	79	43
892	40.824525	111.655892	12275	8864	3966	419871	59	4	9	0	23	1	7	3	17	2	2	0	0	3	8	1	0	15	88	36
725	40.815399	111.648003	12208	8797	3541	265555	33	17	6	1	4	2	4	4	2	2	2	0	0	3	1	1	0	9	45	28
1086	40.810001	111.689003	12175	8586	3512	247663	42	6	13	0	7	1	7	4	4	3	2	1	0	2	6	1	2	14	61	26
1304	40.828499	111.695	12164	8852	3772	426213	49	10	12	1	19	5	5	3	1	2	1	0	1	3	9	3	4	26	60	42
1245	40.8419	111.675003	11741	8850	3882	387950	59	4	8	1	14	1	3	5	5	7	2	1	0	6	4	0	1	14	80	27
770	40.797001	111.671997	11331	8602	3316	208835	55	4	20	0	23	0	7	6	6	5	5	0	1	4	4	1	0	15	79	47
1056	40.827301	111.667999	11219	8497	3081	168248	66	10	16	0	39	3	1	6	3	3	5	2	0	3	10	0	3	24	81	65
1149	40.815899	111.689003	11130	8840	3589	316225	33	6	5	0	13	1	5	3	17	3	2	1	1	2	7	1	2	16	62	24
1106	40.835999	111.665001	10796	8524	3296	263098	15	9	10	2	9	1	3	4	5	3	4	0	0	2	5	0	0	12	30	30
1244	40.819901	111.696999	9981	8783	3129	189443	52	7	6	1	22	4	5	5	18	12	1	1	0	8	5	0	2	20	93	36
1482	40.83559	111.726733	9889	8606	3263	212700	35	3	9	1	7	1	5	3	7	4	1	0	0	1	7	2	1	13	54	20
1378	40.830601	111.704002	9678	8642	3438	253656	61	15	9	1	22	3	5	5	4	8	0	0	1	9	8	0	3	24	83	47
1282	40.829498	111.691002	9648	8801	3343	271390	52	12	6	1	22	5	6	2	7	3	8	2	1	3	13	3	2	35	72	41
895	40.8018	111.679001	9562	8644	3465	262749	63	6	17	0	11	1	3	4	12	3	1	1	0	4	10	0	2	18	86	34
1082	40.832401	111.666	9509	8614	3189	224442	36	4	13	0	16	1	1	4	3	1	4	0	0	1	5	0	2	13	45	33
697	40.7938	111.664001	9270	8622	3165	212723	51	4	14	1	24	0	8	9	9	5	4	0	1	4	3	0	1	13	82	43
