SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	timeZone1	timeZone2	timeZone3	timeZone4	timeZone5	timeZone6
971	40.828098	111.660004	6422	8415	842	152578	8	1	3	0	4	0	1	0	1	0	1	0	1	1	1	0	0	14784	16775	40259	34167	40617	5976
889	40.816101	111.664001	8294	7899	828	137988	44	3	5	0	13	2	1	1	5	4	1	1	0	3	13	0	1	4603	5407	30539	36704	43101	17634
1047	40.801399	111.693001	6996	8641	896	448614	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	24251	36110	161243	90966	116403	19641
861	40.819401	111.657997	6478	8606	782	148300	3	1	1	0	2	0	1	1	41	1	0	2	0	0	0	0	0	7426	9016	31276	33663	39270	27649
775	40.8106	111.658997	6200	7695	755	125132	27	3	12	1	5	0	0	2	0	3	2	1	0	4	2	0	0	3692	4146	28991	32931	42090	13282
1043	40.803001	111.691002	6117	8648	867	371944	3	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	44424	37998	110579	79314	82896	16733
1042	40.8228	111.670998	5997	8670	744	138951	5	0	0	0	3	1	2	0	0	1	1	0	0	1	6	0	1	11167	13102	30523	27594	31674	24891
614	40.776901	111.657997	5073	8728	834	150503	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	11530	18735	33507	26593	33351	26787
1066	40.8055	111.691002	5893	8630	844	256749	6	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	37049	28824	60660	56503	56611	17102
1512	40.8357	111.73394	5095	8485	813	131494	20	2	1	0	3	2	0	1	2	2	0	0	0	1	0	1	1	15489	20392	29595	22974	35002	8042
1098	40.814499	111.685997	5590	8401	820	159507	5	0	3	0	2	0	1	0	2	1	1	0	0	1	0	0	0	6573	9385	50845	34528	38380	19796
656	40.791801	111.653999	4501	8427	817	114760	4	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	14886	16323	26785	23490	27096	6180
915	40.84053	111.642311	4951	8793	862	191281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15269	22102	39856	32933	44782	36339
901	40.832152	111.649285	5224	8164	729	82160	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11559	12649	18777	14191	19957	5027
1344	40.839699	111.689003	4272	8357	804	132760	8	2	2	0	3	0	0	0	0	1	0	0	0	1	1	1	0	10393	13374	32647	31300	38968	6078
