SiteId	Latitude	Longitude	UserCount	MinuteCount	URICount	TotalCount	美食	休闲娱乐	购物	结婚	宾馆酒店	旅游景点	教育培育	生活服务	医疗服务	丽人	汽车服务	运动健身	商务服务	机构	金融银行	楼宇小区	交通出行	工作区	生活区	商业区
971	40.828098	111.660004	21380	8635	4078	302447	58	5	13	0	30	2	6	4	6	3	2	0	1	5	11	1	1	23	77	48
889	40.816101	111.664001	18171	8290	3612	229142	139	30	41	7	32	5	6	6	25	12	6	4	1	12	17	2	2	45	192	110
1047	40.801399	111.693001	17878	8701	4969	699590	23	3	7	0	9	0	3	0	5	0	0	0	0	0	2	0	0	2	31	19
861	40.819401	111.657997	15579	8822	3616	268256	63	14	9	0	24	1	7	6	55	3	4	2	0	2	7	1	1	16	136	47
775	40.8106	111.658997	14552	8244	3247	219388	117	18	28	5	25	5	5	7	24	7	4	1	0	8	6	1	1	25	161	76
1043	40.803001	111.691002	14145	8681	4370	582868	34	4	11	1	12	0	2	3	4	1	5	0	0	2	2	0	0	9	44	28
1042	40.8228	111.670998	14137	8829	3613	266624	71	22	15	0	40	7	2	5	2	7	7	1	1	8	18	1	6	48	88	77
614	40.776901	111.657997	13849	8840	3624	303831	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	3	0
1066	40.8055	111.691002	13279	8685	3892	411585	55	4	14	1	13	1	6	3	4	3	1	1	0	3	3	0	1	9	72	32
1606	40.8512	111.777	13080	8668	4163	442264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1512	40.8357	111.73394	13029	8655	3764	258435	29	5	1	0	4	3	3	1	4	4	1	0	0	1	0	3	1	9	41	10
1098	40.814499	111.685997	12727	8636	3656	278876	31	6	4	1	15	2	4	1	4	3	1	1	0	4	7	0	4	18	44	26
656	40.791801	111.653999	12546	8636	3611	249941	13	1	4	2	6	1	3	1	5	2	1	0	1	2	5	2	0	12	24	13
915	40.84053	111.642311	12527	8858	3860	394683	1	0	1	0	0	0	4	0	3	0	0	0	0	0	0	2	0	2	8	1
901	40.832152	111.649285	12497	8494	3000	155216	5	0	6	0	6	1	1	0	3	0	3	0	0	0	4	0	2	10	9	12
1344	40.839699	111.689003	12420	8611	3630	266569	40	5	10	0	11	2	2	4	7	2	0	0	0	2	4	3	1	12	55	26
946	40.8251	111.660004	12345	8476	3140	191499	61	4	9	0	30	2	6	5	4	3	2	0	1	5	9	1	0	20	79	43
684	40.807098	111.648003	12322	8852	3651	321683	25	1	3	0	3	0	8	3	3	1	2	1	0	1	0	1	0	4	41	7
892	40.824525	111.655892	12275	8864	3966	419871	59	4	9	0	23	1	7	3	17	2	2	0	0	3	8	1	0	15	88	36
725	40.815399	111.648003	12208	8797	3541	265555	33	17	6	1	4	2	4	4	2	2	2	0	0	3	1	1	0	9	45	28
1086	40.810001	111.689003	12175	8586	3512	247663	42	6	13	0	7	1	7	4	4	3	2	1	0	2	6	1	2	14	61	26
1545	40.837	111.746013	12173	8663	4401	408578	6	3	4	0	1	2	0	1	0	0	4	0	0	0	2	0	1	9	7	8
1304	40.828499	111.695	12164	8852	3772	426213	49	10	12	1	19	5	5	3	1	2	1	0	1	3	9	3	4	26	60	42
904	40.827801	111.653999	12125	8646	3637	283070	39	2	5	0	16	1	2	3	5	0	2	0	0	1	7	1	2	14	49	23
1668	40.8983	111.838997	12110	8498	3821	419805	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
763	40.819801	111.648003	12078	8771	3376	251213	19	3	3	1	5	1	3	3	1	1	1	0	0	1	2	1	0	6	27	12
1019	40.859249	111.632004	11919	8804	3806	312069	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
549	40.767799	111.640999	11774	8870	4334	533610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1245	40.8419	111.675003	11741	8850	3882	387950	59	4	8	1	14	1	3	5	5	7	2	1	0	6	4	0	1	14	80	27
1180	40.824699	111.682999	11648	8782	3166	196091	124	25	19	10	37	4	12	2	12	16	1	2	1	17	14	0	8	45	168	91
605	40.766102	111.667	11646	8846	4007	349597	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
841	40.810101	111.666	11564	8856	3945	383860	56	16	33	11	21	3	1	0	27	6	4	3	1	8	6	2	2	26	93	81
1655	40.894798	111.829002	11555	8882	4640	816692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
599	40.7915	111.639999	11509	8673	3582	321817	8	0	6	0	2	0	2	1	2	0	3	0	0	1	0	1	0	5	13	8
926	40.8181	111.666	11392	8797	3518	236443	166	29	34	4	44	6	5	4	11	13	3	2	2	12	19	1	3	46	201	111
770	40.797001	111.671997	11331	8602	3316	208835	55	4	20	0	23	0	7	6	6	5	5	0	1	4	4	1	0	15	79	47
633	40.803101	111.637001	11253	8689	3896	412410	13	2	8	0	5	0	2	4	7	1	5	0	0	0	3	1	0	9	27	15
1056	40.827301	111.667999	11219	8497	3081	168248	66	10	16	0	39	3	1	6	3	3	5	2	0	3	10	0	3	24	81	65
1149	40.815899	111.689003	11130	8840	3589	316225	33	6	5	0	13	1	5	3	17	3	2	1	1	2	7	1	2	16	62	24
677	40.8032	111.649002	11116	8624	3522	259412	31	8	3	0	6	0	6	4	2	3	5	0	0	2	1	3	0	11	46	17
1188	40.808102	111.700996	11022	8648	3453	279143	21	2	3	0	5	1	6	2	9	3	0	0	0	3	4	0	1	9	41	10
553	40.775799	111.635002	10936	8856	3817	349370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
1106	40.835999	111.665001	10796	8524	3296	263098	15	9	10	2	9	1	3	4	5	3	4	0	0	2	5	0	0	12	30	30
690	40.816299	111.639999	10711	8832	3312	276007	12	2	5	0	8	2	3	0	4	1	0	0	1	0	2	1	0	6	20	15
631	40.788502	111.651001	10605	8655	3351	286856	2	1	1	0	2	1	1	0	0	0	1	0	0	0	0	1	0	3	3	4
935	40.76997	111.714699	10578	8879	4201	475180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
548	40.793701	111.614998	10310	8658	3709	320288	4	0	2	1	2	0	1	0	0	0	0	0	0	1	0	0	0	1	5	5
1496	40.8755	111.690002	10162	8862	4087	465104	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0
808	40.852059	111.620455	10131	8830	4167	501022	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
1263	40.8466	111.671997	10102	8862	3827	431628	25	3	0	0	12	1	3	0	2	1	0	0	0	1	3	0	1	6	31	15
698	40.808899	111.649002	10077	8702	3264	240112	27	3	7	0	4	0	7	7	3	1	2	1	0	2	0	1	0	5	46	14
1669	40.9016	111.837997	10075	8878	4032	545906	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
436	40.493649	111.787767	10038	8879	4298	612190	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0
1244	40.819901	111.696999	9981	8783	3129	189443	52	7	6	1	22	4	5	5	18	12	1	1	0	8	5	0	2	20	93	36
378	40.667702	111.542	9951	8797	3262	242584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1671	40.896702	111.845001	9932	8836	3721	442271	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0
1039	40.854191	111.639308	9892	7723	2506	98825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
1482	40.83559	111.726733	9889	8606	3263	212700	35	3	9	1	7	1	5	3	7	4	1	0	0	1	7	2	1	13	54	20
460	40.785702	111.537003	9846	8655	3940	346520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0
716	40.766031	111.695078	9828	8864	4114	458734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
315	40.741299	111.350998	9749	8588	2925	152085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1378	40.830601	111.704002	9678	8642	3438	253656	61	15	9	1	22	3	5	5	4	8	0	0	1	9	8	0	3	24	83	47
1134	40.857201	111.646004	9652	8809	3312	269165	0	0	1	0	2	0	0	0	0	0	3	0	0	0	0	2	0	5	0	3
1282	40.829498	111.691002	9648	8801	3343	271390	52	12	6	1	22	5	6	2	7	3	8	2	1	3	13	3	2	35	72	41
